_id,broadcast_score,collab_score,country,engagement,followers,creator_id,median_views,name,price,category,followers_num,engagement_num,median_views_num,price_num,broadcast_score_num,collab_score_num,category_list,n_categories,followers_num_missing,engagement_num_missing,median_views_num_missing,price_num_missing,broadcast_score_num_missing,collab_score_num_missing,followers_num_log1p,median_views_num_log1p,price_num_log1p,followers_num_outlier_iqr,engagement_num_outlier_iqr,median_views_num_outlier_iqr,price_num_outlier_iqr,price_tier,size_tier,category_group_list,primary_category_group,is_usable_for_clustering,sampling_stratum
3phiiiiii,96,80.4,Unknown,3.97%,64.9K,3phiiiiii,752,Đặng Thanh Phi,Thỏa thuận/Chưa đặt,"Automobiles, Outfits",64900.00000000001,3.97,752.0,,96.0,80.4,"['Automobiles', 'Outfits']",2,0,0,0,1,0,0,11.080618310893968,6.6240652277998935,,False,False,False,False,missing,MICRO,"['Others', 'Beauty & Fashion']",Others,True,micro | missing | Others
banhthe_3108,N/A,70.5,Unknown,3.33%,16.6K,banhthe_3108,27.6K,Bánh.The,Thỏa thuận/Chưa đặt,"Travel, Restaurant Exploration",16600.0,3.33,27600.0,,,70.5,"['Travel', 'Restaurant Exploration']",2,0,0,0,1,1,0,9.717218213494077,10.225607282932941,,False,False,False,False,missing,MICRO,"['Others', 'Lifestyle']",Others,True,micro | missing | Others
suckhoedoisongne,N/A,75,Unknown,2.70%,254.1K,suckhoedoisongne,22.4K,Sức Khoẻ Và Đời Sống,"186,000 VND",Health & Wellness,254100.0,2.7,22400.0,186000.0,,75.0,['Health & Wellness'],1,0,0,0,0,1,0,12.445487104758993,10.016860879703811,12.133507329024972,False,False,False,False,low,MICRO,['Others'],Others,True,micro | low | Others
vmetal.pda,N/A,76.9,Unknown,0.63%,135.3K,vmetal.pda,19.6K,Vmetal - PDA,"1,900,000 VND",Traditional Sports,135300.0,0.63,19600.0,1900000.0,,76.9,['Traditional Sports'],1,0,0,0,0,1,0,11.815257205114566,9.883335864325275,14.45736497045232,False,False,False,False,mid,MICRO,['Others'],Others,True,micro | mid | Others
tiche2082,N/A,77.9,Unknown,4.53%,32K,tiche2082,10.8K,Tí Chè XM CuChi,Thỏa thuận/Chưa đặt,Automobiles,32000.0,4.53,10800.0,,,77.9,['Automobiles'],1,0,0,0,1,1,0,10.373522431293592,9.287394001418473,,False,False,False,False,missing,MICRO,['Others'],Others,True,micro | missing | Others
miulinhmap,N/A,74,Unknown,3.33%,301K,miulinhmap,18.9K,Miu Linh,Thỏa thuận/Chưa đặt,"Household Products, Restaurant Exploration, Home Improvement, Daily Life, Cooking & Recipes, Food & Beverage",301000.0,3.33,18900.0,,,74.0,"['Household Products', 'Restaurant Exploration', 'Home Improvement', 'Daily Life', 'Cooking & Recipes', 'Food & Beverage']",6,0,0,0,1,1,0,12.614868865984631,9.846970109700957,,False,False,False,False,missing,MICRO,"['Others', 'Lifestyle']",Others,True,micro | missing | Others
_nakanomiku03_05,97.6,80.3,Unknown,15.44%,127.8K,_nakanomiku03_05,11.2K,Miku🩵🎧🩵,Thỏa thuận/Chưa đặt,"Apps, Animation & Cosplay, Toys & Collectibles",127800.0,15.44,11200.0,,97.6,80.3,"['Apps', 'Animation & Cosplay', 'Toys & Collectibles']",3,0,0,0,1,0,0,11.758229645621093,9.32375833901174,,False,True,False,False,missing,MICRO,"['Others', 'Entertainment']",Others,True,micro | missing | Others
maianhdoanthi2,N/A,73.3,Unknown,2.24%,222.5K,maianhdoanthi2,1.2K,Mommy Tuệ Linh,"5,000,000 VND","Software & Apps, Beauty Tutorials & Tips, Babies",222500.0,2.24,1200.0,5000000.0,,73.3,"['Software & Apps', 'Beauty Tutorials & Tips', 'Babies']",3,0,0,0,0,1,0,12.312686874960354,7.0909098220799835,15.424948670398354,False,False,False,False,high,MICRO,"['Others', 'Beauty & Fashion']",Others,True,micro | high | Others
cothoxaychina,N/A,83.4,Unknown,4.19%,25.6K,cothoxaychina,40.3K,CÔ THỢ XÂY,Thỏa thuận/Chưa đặt,Jobs & Careers,25600.0,4.19,40300.0,,,83.4,['Jobs & Careers'],1,0,0,0,1,1,0,10.150386692204734,10.604131561522696,,False,False,False,False,missing,MICRO,['Others'],Others,True,micro | missing | Others
son1605,N/A,74.9,Unknown,1.93%,171.3K,son1605,6K,NGUYỄN HỒNG SƠN,Thỏa thuận/Chưa đặt,"Jobs & Careers, Automobiles",171300.0,1.93,6000.0,,,74.9,"['Jobs & Careers', 'Automobiles']",2,0,0,0,1,1,0,12.051177522006789,8.699681400989514,,False,False,False,False,missing,MICRO,['Others'],Others,True,micro | missing | Others
scoopblindpack_by_jena,N/A,72.8,Unknown,3.25%,230.9K,scoopblindpack_by_jena,21.6K,Scoopblindpack by Jena,Thỏa thuận/Chưa đặt,"Jobs & Careers, Daily Life",230900.0,3.25,21600.0,,,72.8,"['Jobs & Careers', 'Daily Life']",2,0,0,0,1,1,0,12.349744326212377,9.980494888896912,,False,False,False,False,missing,MICRO,"['Others', 'Lifestyle']",Others,True,micro | missing | Others
kidsdance69,N/A,74.4,Unknown,0.66%,454.9K,kidsdance69,145K,Kids dance🐦‍🔥,Thỏa thuận/Chưa đặt,Babies,454900.0,0.66,145000.0,,,74.4,['Babies'],1,0,0,0,1,1,0,13.027835091841016,11.884495917930655,,False,False,False,False,missing,MICRO,['Others'],Others,True,micro | missing | Others
tony.traigatre,N/A,72.9,Unknown,3.65%,29K,tony.traigatre,18.6K,Tony Phạm,Thỏa thuận/Chưa đặt,Wildlife & Exotic Pets,29000.0,3.65,18600.0,,,72.9,['Wildlife & Exotic Pets'],1,0,0,0,1,1,0,10.275085591132715,9.83097062169695,,False,False,False,False,missing,MICRO,['Others'],Others,True,micro | missing | Others
vybaby2504,N/A,74.8,Unknown,9.91%,107.4K,vybaby2504,23.7K,Vy baby,Thỏa thuận/Chưa đặt,"Baby, Kids & Maternity, Babies",107400.0,9.91,23700.0,,,74.8,"['Baby', 'Kids & Maternity', 'Babies']",3,0,0,0,1,1,0,11.58432477200052,10.073272520325904,,False,False,False,False,missing,MICRO,['Others'],Others,True,micro | missing | Others
lgd8888,N/A,76,Unknown,2.66%,130.8K,lgd8888,33.7K,Đạt 09,"500,000 VND","Automobiles, News & Entertainment",130800.00000000001,2.66,33700.0,500000.0,,76.0,"['Automobiles', 'News & Entertainment']",2,0,0,0,0,1,0,11.78143236323595,10.425282789490705,13.122365377402328,False,False,False,False,low,MICRO,"['Others', 'Entertainment']",Others,True,micro | low | Others
mongbinh68,N/A,74.8,Unknown,2.32%,200.5K,mongbinh68,45.8K,@Mộng Bình68,"2,935,000 VND","Home Improvement, Household Products, Cooking & Recipes",200500.0,2.32,45800.0,2935000.0,,74.8,"['Home Improvement', 'Household Products', 'Cooking & Recipes']",3,0,0,0,0,1,0,12.208574513247495,10.732061203925053,14.892218351959778,False,False,False,False,mid,MICRO,"['Others', 'Lifestyle']",Others,True,micro | mid | Others
dangviethoangboxing,N/A,87.6,Unknown,1.57%,21.1K,dangviethoangboxing,30.8K,Hoàng Boxing Quảng Bình,"500,000 VND",Extreme Sports,21100.0,1.57,30800.0,500000.0,,87.6,['Extreme Sports'],1,0,0,0,0,1,0,9.957075711706057,10.335302435967074,13.122365377402328,False,False,False,False,low,MICRO,['Others'],Others,True,micro | low | Others
thaihoa_entertainment,N/A,75.3,Unknown,5.76%,161.5K,thaihoa_entertainment,15.6K,Thái Hoà Entertainment,Thỏa thuận/Chưa đặt,Social News & Events,161500.0,5.76,15600.0,,,75.3,['Social News & Events'],1,0,0,0,1,1,0,11.992266613576142,9.65509029374725,,False,False,False,False,missing,MICRO,['Others'],Others,True,micro | missing | Others
calmstoriesspace,93.2,78.7,Unknown,9.65%,205.7K,calmstoriesspace,45.8K,Calm Stories,Thỏa thuận/Chưa đặt,"Nature & Scenery, Animation & Cosplay",205700.0,9.65,45800.0,,93.2,78.7,"['Nature & Scenery', 'Animation & Cosplay']",2,0,0,0,1,0,0,12.234178937077944,10.732061203925053,,False,False,False,False,missing,MICRO,"['Others', 'Entertainment']",Others,True,micro | missing | Others
jaynitravel,N/A,75.9,Unknown,4.63%,86.8K,jaynitravel,19.1K,Jayni Travel,Thỏa thuận/Chưa đặt,Travel,86800.0,4.63,19100.0,,,75.9,['Travel'],1,0,0,0,1,1,0,11.371373421319406,9.857495968685136,,False,False,False,False,missing,MICRO,['Others'],Others,True,micro | missing | Others
thienthubilliards,N/A,73.4,Unknown,0.80%,65.6K,thienthubilliards,14K,thienthubilliards,"1,000,000 VND",Traditional Sports,65600.0,0.8,14000.0,1000000.0,,73.4,['Traditional Sports'],1,0,0,0,0,1,0,11.091346218718432,9.546884034617925,13.815511557963774,False,False,False,False,mid,MICRO,['Others'],Others,True,micro | mid | Others
nhirose030715,N/A,75.8,Unknown,1.70%,363.7K,nhirose030715,148.7K,Nhirose0307,Thỏa thuận/Chưa đặt,"Baby, Kids & Maternity, Other Beauty & Personal Care, Family, Health, Beauty & Personal Care",363700.0,1.7,148700.0,,,75.8,"['Baby', 'Kids & Maternity', 'Other Beauty & Personal Care', 'Family', 'Health', 'Beauty & Personal Care']",6,0,0,0,1,1,0,12.804087380490135,11.909692857375196,,False,False,False,False,missing,MICRO,"['Others', 'Lifestyle', 'Beauty & Fashion']",Others,True,micro | missing | Others
trinhkieuoanh139,N/A,67.1,Unknown,1.15%,206.4K,trinhkieuoanh139,18.4K,Oanh nè 🎀,Thỏa thuận/Chưa đặt,"Hair Design & Care, Beauty Tutorials & Tips",206400.0,1.15,18400.0,,,67.1,"['Hair Design & Care', 'Beauty Tutorials & Tips']",2,0,0,0,1,1,0,12.237576157539047,9.820160289946374,,False,False,False,False,missing,MICRO,"['Others', 'Beauty & Fashion']",Others,True,micro | missing | Others
liang1965_,N/A,72.8,Unknown,3.41%,447.3K,liang1965_,1.6K,3658883572@qq.com,"300,000 VND","Nature & Scenery, Traditional Sports, Dance, News & Entertainment",447300.0,3.41,1600.0,300000.0,,72.8,"['Nature & Scenery', 'Traditional Sports', 'Dance', 'News & Entertainment']",4,0,0,0,0,1,0,13.01098702505448,7.3783837129967145,12.611541086966115,False,False,False,False,low,MICRO,"['Others', 'Entertainment']",Others,True,micro | low | Others
boss.tuan888888,N/A,73.7,Unknown,0.43%,111.3K,boss.tuan888888,14.1K,Thiều Tuấn shop vn,"26,310,000 VND",Hair Design & Care,111300.0,0.43,14100.0,26310000.0,,73.7,['Hair Design & Care'],1,0,0,0,0,1,0,11.61999352194924,9.55400099583723,17.085459691024838,False,False,False,True,high,MICRO,['Others'],Others,True,micro | high | Others
quangdenmukbang,90.2,77.7,Unknown,2.36%,488.4K,quangdenmukbang,220K,Quang Đen,"4,000,000 VND","Other Beauty & Personal Care, Food & Beverage, Mukbang & Food Tasting, News & Entertainment, Beauty & Personal Care",488400.0,2.36,220000.0,4000000.0,90.2,77.7,"['Other Beauty & Personal Care', 'Food & Beverage', 'Mukbang & Food Tasting', 'News & Entertainment', 'Beauty & Personal Care']",5,0,0,0,0,0,0,13.098892068718637,12.301387370778713,15.201805169084134,False,False,True,False,high,MICRO,"['Others', 'Lifestyle', 'Entertainment', 'Beauty & Fashion']",Others,True,micro | high | Others
nguyenthu.khobuonsosinh,N/A,70.6,Unknown,1.94%,393.5K,nguyenthu.khobuonsosinh,2.3K,Tổng kho sơ sinh Thu BinH,Thỏa thuận/Chưa đặt,"Jobs & Careers, Babies, Dance",393500.0,1.94,2300.0,,,70.6,"['Jobs & Careers', 'Babies', 'Dance']",3,0,0,0,1,1,0,12.882838888132428,7.741099090035366,,False,False,False,False,missing,MICRO,"['Others', 'Entertainment']",Others,True,micro | missing | Others
nguoicamtien,96.5,80.7,Unknown,2.99%,61.3K,nguoicamtien,59.8K,Người Cầm Tiền,"8,000,000 VND",Business & Finance,61300.0,2.99,59800.0,8000000.0,96.5,80.7,['Business & Finance'],1,0,0,0,0,0,0,11.023551435004947,10.998777662206932,15.894952224644102,False,False,False,False,high,MICRO,['Others'],Others,True,micro | high | Others
16khichatphunu,N/A,72.4,Unknown,5.79%,54.6K,16khichatphunu,195.3K,16+ Khí Chất Phụ Nữ,Thỏa thuận/Chưa đặt,Fitness,54600.0,5.79,195300.0,,,72.4,['Fitness'],1,0,0,0,1,1,0,10.907807476583594,12.182297237179363,,False,False,True,False,missing,MICRO,['Others'],Others,True,micro | missing | Others
toibiboclotkozy,99.3,81,Unknown,10.10%,80.6K,toibiboclotkozy,219.7K,Thế hệ cợt nhả,Thỏa thuận/Chưa đặt,"Pet Tips & Care, Comedy",80600.0,10.1,219700.0,,99.3,81.0,"['Pet Tips & Care', 'Comedy']",2,0,0,0,1,0,0,11.297266335365645,12.3000228100237,,False,False,True,False,missing,MICRO,"['Others', 'Entertainment']",Others,True,micro | missing | Others
mc_leminh,N/A,73.7,Unknown,2.97%,74.4K,mc_leminh,16.6K,Người Dẫn Chuyện,Thỏa thuận/Chưa đặt,"Career Development, Daily Life, Humanities & Science",74400.0,2.97,16600.0,,,73.7,"['Career Development', 'Daily Life', 'Humanities & Science']",3,0,0,0,1,1,0,11.217224661591072,9.717218213494077,,False,False,False,False,missing,MICRO,"['Others', 'Lifestyle']",Others,True,micro | missing | Others
v.chn.dung..h.gm,N/A,72.8,Unknown,1.23%,109.3K,v.chn.dung..h.gm,11.7K,Vẽ chân dung art hồ gươm,Thỏa thuận/Chưa đặt,Art,109300.0,1.23,11700.0,,,72.8,['Art'],1,0,0,0,1,1,0,11.60186082325361,9.367429587218957,,False,False,False,False,missing,MICRO,['Others'],Others,True,micro | missing | Others
phadaotiengnhat,N/A,76.4,Unknown,6.14%,23.4K,phadaotiengnhat,22.5K,Phá đảo tiếng Nhật,Thỏa thuận/Chưa đặt,"Career Development, Humanities & Science",23400.0,6.14,22500.0,,,76.4,"['Career Development', 'Humanities & Science']",2,0,0,0,1,1,0,10.060534035475412,10.021315031649332,,False,False,False,False,missing,MICRO,['Others'],Others,True,micro | missing | Others
madamelyspa,N/A,73.5,Unknown,4.46%,80.1K,madamelyspa,41.9K,MadameLy Spa,"8,000,000 VND","Hair Design & Care, Slime, ASMR, & Aesthetics",80100.0,4.46,41900.0,8000000.0,,73.5,"['Hair Design & Care', 'Slime', 'ASMR', '& Aesthetics']",4,0,0,0,0,1,0,11.291043617373028,10.643064971973882,15.894952224644102,False,False,False,False,high,MICRO,['Others'],Others,True,micro | high | Others
nbhizz,N/A,76.8,Unknown,0.90%,63K,nbhizz,25.5K,Nhạc Bạch Hy,Thỏa thuận/Chưa đặt,"Art, Tech Products & Tests, Daily Life",63000.0,0.9,25500.0,,,76.8,"['Art', 'Tech Products & Tests', 'Daily Life']",3,0,0,0,1,1,0,11.050905878263567,10.146472946063877,,False,False,False,False,missing,MICRO,"['Others', 'Knowledge / Tech', 'Lifestyle']",Others,True,micro | missing | Others
bachhuyentrangxinchao,N/A,88.8,Unknown,7.77%,412.5K,bachhuyentrangxinchao,49.5K,Bạch Huyền Trang,Thỏa thuận/Chưa đặt,"Travel, Restaurant Exploration, Beauty Tutorials & Tips",412500.0,7.77,49500.0,,,88.8,"['Travel', 'Restaurant Exploration', 'Beauty Tutorials & Tips']",3,0,0,0,1,1,0,12.929993908996359,10.809748150372926,,False,False,False,False,missing,MICRO,"['Others', 'Lifestyle', 'Beauty & Fashion']",Others,True,micro | missing | Others
anhhuy80.tn,N/A,77.5,Unknown,5.42%,351.3K,anhhuy80.tn,1.7K,HUY 80,Thỏa thuận/Chưa đặt,"Home & Garden, Daily Life, Home Improvement, Household Products",351300.0,5.42,1700.0,,,77.5,"['Home & Garden', 'Daily Life', 'Home Improvement', 'Household Products']",4,0,0,0,1,1,0,12.76939868481975,7.438971592395862,,False,False,False,False,missing,MICRO,"['Others', 'Lifestyle']",Others,True,micro | missing | Others
longthanhpomeranian,N/A,70.3,Unknown,4.05%,47.6K,longthanhpomeranian,1.5K,ZahanPet,"2,631,000 VND",Pet Tips & Care,47600.0,4.05,1500.0,2631000.0,,70.3,['Pet Tips & Care'],1,0,0,0,0,1,0,10.7706090484022,7.313886831633462,14.782874940105977,False,False,False,False,mid,MICRO,['Others'],Others,True,micro | mid | Others
ngnhubinh_,94.4,76.5,Unknown,7.56%,151.2K,ngnhubinh_,168.7K,Như Bình Thường,Thỏa thuận/Chưa đặt,"Skincare, Beauty Tutorials & Tips, Love & Romantic Relationships, Daily Life, Beauty & Personal Care, Life Services",151200.0,7.56,168700.0,,94.4,76.5,"['Skincare', 'Beauty Tutorials & Tips', 'Love & Romantic Relationships', 'Daily Life', 'Beauty & Personal Care', 'Life Services']",6,0,0,0,1,0,0,11.926365356462313,12.035883196198768,,False,False,True,False,missing,MICRO,"['Others', 'Beauty & Fashion', 'Lifestyle']",Others,True,micro | missing | Others
dancody14,N/A,75.3,Unknown,2.23%,454.9K,dancody14,16.9K,Dân Cozy,"13,155,000 VND","Business Services, Financial Services, Daily Life, Life Services, Business & Finance",454900.0,2.23,16900.0,13155000.0,,75.3,"['Business Services', 'Financial Services', 'Daily Life', 'Life Services', 'Business & Finance']",5,0,0,0,0,1,0,13.027835091841016,9.735128070758227,16.39231254847325,False,False,False,True,high,MICRO,"['Others', 'Lifestyle']",Others,True,micro | high | Others
gocngam.nghi,91.6,78.2,Unknown,5.95%,137.4K,gocngam.nghi,12K,Góc Ngẫm Nghĩ,Thỏa thuận/Chưa đặt,"Theater & Stage, Family, Love & Romantic Relationships",137400.0,5.95,12000.0,,91.6,78.2,"['Theater & Stage', 'Family', 'Love & Romantic Relationships']",3,0,0,0,1,0,0,11.83065893676428,9.392745258631441,,False,False,False,False,missing,MICRO,"['Others', 'Lifestyle']",Others,True,micro | missing | Others
phanhoa_triumph,N/A,73.3,Unknown,3.19%,271.7K,phanhoa_triumph,10.5K,Phan Hoa Triumph,Thỏa thuận/Chưa đặt,"Automobiles, Extreme Sports",271700.0,3.19,10500.0,,,73.3,"['Automobiles', 'Extreme Sports']",2,0,0,0,1,1,0,12.512457475937662,9.259225769705994,,False,False,False,False,missing,MICRO,['Others'],Others,True,micro | missing | Others
maddiee_ng,N/A,76.2,Unknown,3.91%,296.7K,maddiee_ng,24.2K,Tuyết Nhung,Thỏa thuận/Chưa đặt,"Appliances, Hair Design & Care, Outfits, Bags, Daily Life, Apparel & Accessories, Beauty & Personal Care",296700.0,3.91,24200.0,,,76.2,"['Appliances', 'Hair Design & Care', 'Outfits', 'Bags', 'Daily Life', 'Apparel & Accessories', 'Beauty & Personal Care']",7,0,0,0,1,1,0,12.600480176681053,10.094149233605084,,False,False,False,False,missing,MICRO,"['Others', 'Beauty & Fashion', 'Lifestyle']",Others,True,micro | missing | Others
megoldreview,N/A,85.4,Unknown,1.49%,160.3K,megoldreview,55.2K,Nguyễn Lê Trà Giang,"5,000,000 VND","Baby, Kids & Maternity, Hair Design & Care, Beauty Tutorials & Tips, Appliances, Health",160300.0,1.49,55200.0,5000000.0,,85.4,"['Baby', 'Kids & Maternity', 'Hair Design & Care', 'Beauty Tutorials & Tips', 'Appliances', 'Health']",6,0,0,0,0,1,0,11.984808576881369,10.918736348043124,15.424948670398354,False,False,False,False,high,MICRO,"['Others', 'Beauty & Fashion']",Others,True,micro | high | Others
mai.hay.an,N/A,70.2,Unknown,3.71%,24.3K,mai.hay.an,15.5K,Mai Hay Ăn,"3,000,000 VND","Food & Beverage, Health, Other Apparel & Accessories, Mukbang & Food Tasting, Apparel & Accessories",24300.0,3.71,15500.0,3000000.0,,70.2,"['Food & Beverage', 'Health', 'Other Apparel & Accessories', 'Mukbang & Food Tasting', 'Apparel & Accessories']",5,0,0,0,0,1,0,10.098272780745283,9.648659816955295,14.914123179965662,False,False,False,False,mid,MICRO,"['Others', 'Lifestyle', 'Beauty & Fashion']",Others,True,micro | mid | Others
diemdiem.98,N/A,68.1,Unknown,1.87%,65.3K,diemdiem.98,18K,Kidi Nguyen,Thỏa thuận/Chưa đặt,"Hair Design & Care, Beauty Tutorials & Tips",65300.0,1.87,18000.0,,,68.1,"['Hair Design & Care', 'Beauty Tutorials & Tips']",2,0,0,0,1,1,0,11.086762629082946,9.798182590890704,,False,False,False,False,missing,MICRO,"['Others', 'Beauty & Fashion']",Others,True,micro | missing | Others
giadinhthaovi,N/A,79.4,Unknown,4.91%,217.3K,giadinhthaovi,9.7K,giadinhthaovi,"2,561,000 VND","Baby, Kids & Maternity, Appliances, Restaurant Exploration, Family, Daily Life, Health",217300.0,4.91,9700.0,2561000.0,,79.4,"['Baby', 'Kids & Maternity', 'Appliances', 'Restaurant Exploration', 'Family', 'Daily Life', 'Health']",7,0,0,0,0,1,0,12.289038768166744,9.179984251961283,14.755908755654058,False,False,False,False,mid,MICRO,"['Others', 'Lifestyle']",Others,True,micro | mid | Others
thawnk6,96,77.3,Unknown,6.18%,52.2K,thawnk6,58.8K,thăn k6,Thỏa thuận/Chưa đặt,Automobiles,52200.0,6.18,58800.0,,96.0,77.3,['Automobiles'],1,0,0,0,1,0,0,10.862856930775358,10.981914140544825,,False,False,False,False,missing,MICRO,['Others'],Others,True,micro | missing | Others
